24.78709341572747 24.78709341572747
2.312007731201554250e+01 8.068156140736585158e+00 2.914664765597592133e+00
3.237857032599818496e-01 1.721972617747309808e+00 1.144323571805440087e+00
3.355592800652762442e-01 2.853472448272156292e+00 3.994576318160622197e+00
3.379458940442343073e-01 4.077985067344073400e+00 2.298477898901153171e+00
3.103642157290565917e-01 5.168349366962829983e+00 3.748940766093993293e+00
3.456926173685487269e-01 6.251135526543465382e+00 5.106363260792925907e+00
3.175211284160189829e-01 7.456630402960357173e+00 2.106352110843608738e+00
3.773002471995695051e-01 8.543166110968465787e+00 6.160214985260295428e+00
3.227657890549827657e-01 9.737018951439255332e+00 5.793760476244258939e+00
3.627311819340323651e-01 1.087859357873467658e+01 2.346869343634815586e+00
3.647115086343921675e-01 1.205963706672424962e+01 2.725255070217854403e+00
2.623702738852706773e-01 1.318009800680480303e+01 5.801644434627182267e-01
3.297854384914552517e-01 1.434182328439360354e+01 1.887370477728178120e+00
3.190695325114863978e-01 1.544736890577951272e+01 2.398541179346021845e+00
3.600355433687620343e-01 1.661173192955463307e+01 3.658071767369772687e+00
3.262285844078762764e-01 1.769347007562589980e+01 6.096957869846998612e+00
3.389502481685738866e-01 1.891468527471128525e+01 1.078335981191270720e+00
3.952669664927748183e-01 2.005988024119511692e+01 2.957734397444852448e+00
2.760821213783198891e-01 2.117476707025979010e+01 3.940065023140074119e-01
3.704925593574704967e-01 2.231024710504030395e+01 4.488413862783538377e+00
3.194310863975399206e-01 2.354684257398914582e+01 2.238923844675646535e+00
2.393967858109155245e+01 1.931522284070462803e+01 5.980280178118834833e+00
2.378085781786559139e+01 8.992289705396528277e+00 5.161188860076795670e+00
1.376869456448595486e+00 1.137328005762245908e+00 3.184273321518231725e+00
1.290047328909103230e+00 2.306951904965891309e+00 2.316141043840137248e-01
1.275282845379440255e+00 3.454055039056434850e+00 3.798705026824260589e+00
1.325182516963825385e+00 4.570550177923645485e+00 1.975713537692367572e+00
1.316632481484312223e+00 5.801936482444373766e+00 2.137461068999957636e-01
1.336959131093713449e+00 6.834239888105735794e+00 1.287454102408404744e+00
1.290976198874931535e+00 7.976276028502334192e+00 2.084820027368325945e+00
1.294094585825277477e+00 9.184754255622788577e+00 1.098190893653305578e+00
1.312909874051080727e+00 1.033624131658880252e+01 3.818349294583540221e+00
1.314590148622925669e+00 1.140036612193039467e+01 3.606202826984442389e+00
1.339349933728971598e+00 1.258750631846220358e+01 3.631938823089616797e+00
1.341323781702092210e+00 1.374805324471876666e+01 3.437704420314057874e+00
1.274528707596522148e+00 1.491020016431919615e+01 4.392068038627101600e+00
1.319320712933246487e+00 1.604804174885129342e+01 3.326967258633649838e+00
1.348892807843864672e+00 1.714988186184478636e+01 2.374443864480412003e+00
1.301750213560840086e+00 1.827126746600995943e+01 5.660026671396273024e+00
1.344607129660240208e+00 1.951529890230181152e+01 5.711866326495082191e+00
1.320334230906074602e+00 2.066267446309850442e+01 4.431269875356587562e+00
1.325623713119571390e+00 2.176828603531065909e+01 6.252548562696143009e+00
1.313271037474125214e+00 2.285362327192198606e+01 6.760443609664887887e-01
1.358099952938515376e+00 2.406033597654517564e+01 2.455859671275276490e+00
2.414356133987704567e+01 1.408501783297322518e+01 3.971686830432036852e-01
2.256553113762199025e+00 1.735000142789264732e+00 4.823777161255645929e+00
2.324885200584229761e+00 2.862756154815670140e+00 6.859005887200977369e-01
2.347282702472154536e+00 4.025493271095932357e+00 8.667939207411166080e-01
2.293993205585094675e+00 5.141695251991938775e+00 3.874566167814008200e+00
2.378847423964832952e+00 6.285440380668789295e+00 5.555875455069814173e+00
2.309228641427293560e+00 7.467105781491643945e+00 3.376368396541353789e+00
2.306791393967689618e+00 8.591388192143234903e+00 7.431614599573624913e-01
2.300998372898389821e+00 9.714551358651108970e+00 4.279565724775735269e+00
2.373921633800913256e+00 1.086210113388458431e+01 3.485228128744796372e+00
