27.712812921102035 27.712812921102035
9.214797386840433147e-01 1.188606341381868381e+00 3.403243577946660992e+00
6.700001837094308188e-01 2.967166153213755653e+00 3.829660498774742461e+00
6.204448513400451226e-01 5.422706042644037439e+00 3.295840116108939899e+00
2.599844728521245596e-01 7.059196659928031359e+00 4.706258534000784088e+00
5.640745580483590427e-01 8.995954809919203043e+00 6.493994928556543478e-01
6.839999484908257932e-01 1.077556272377537638e+01 5.798152122301165612e+00
5.545519968585496118e-01 1.302257240960159557e+01 2.280346061547305347e-01
5.826867890827925889e-01 1.516961148416187477e+01 3.102677538268411084e+00
5.920181688626557914e-01 1.653955043251569990e+01 3.942547872857443902e+00
3.462873785407066807e-01 1.905255634044343438e+01 7.878213761549355265e-01
4.689031841431007819e-01 2.081556504710868793e+01 3.248677916700533963e+00
6.443180330034123937e-01 2.315950677511924027e+01 3.585310604822046887e+00
6.134377514147864030e-01 2.499053562813277196e+01 6.076023370670183832e-01
3.235306086671800863e-01 2.660176346746626663e+01 4.992686199974545325e+00
9.996696529324404779e+00 1.685972949412703770e+01 3.770898160942458333e+00
1.524227831901598051e+01 2.204985601283627084e+00 2.595909247950181964e+00
2.571284016060848554e+00 -2.146783391949640130e-01 5.917015952325019867e-01
2.506466438495289051e+00 2.322875147244260141e+00 5.859851585756131520e+00
2.504248851866841541e+00 3.801002368201207293e+00 4.236078859285444587e+00
2.655492537649517093e+00 5.856743379051811971e+00 3.153996182902396583e+00
2.419566068559654948e+00 7.845101587122123910e+00 6.093852727718215512e+00
2.276487444088285628e+00 9.849199705203991684e+00 2.126394737195030693e+00
2.265461344107116748e+00 1.191147139906574282e+01 1.170673343845680670e+00
2.144278811961716436e+00 1.408830624742489235e+01 4.699553746152842493e+00
2.769219759827043603e+00 1.606466170255220050e+01 3.303499194964597319e+00
1.946702404903983163e+00 1.811436024582327065e+01 3.520436778357914687e+00
2.367224618449314644e+00 1.978172474765299427e+01 5.907056282162848060e-01
2.062911917428298381e+00 2.217523859490668769e+01 1.264489004229075952e+00
2.670405775388996705e+00 2.409764722745137533e+01 2.929562489601263309e+00
2.082673581315725997e+00 2.563034096161822717e+01 2.548255708617584325e+00
2.059787165737282422e+01 1.055616940296325623e+01 4.117204680672956307e+00
1.647120463887224773e+01 1.093695933982897017e+01 4.898373727849521408e+00
4.042703321751166534e+00 1.031723491979234408e+00 1.000839294120100309e+00
3.939770082619815650e+00 2.816979873801435108e+00 4.211592902423590523e+00
4.306465645437294043e+00 5.145991496808635546e+00 3.375628548265136253e+00
4.401530847668337465e+00 6.986623803582816095e+00 1.644304544571993265e+00
3.910354328035016369e+00 8.846691339248046404e+00 2.946621452075402825e+00
4.083322171963889247e+00 1.100034739339085377e+01 4.941501677942691018e+00
4.043721352316691053e+00 1.299917578332355639e+01 4.761384553087983917e+00
4.285720542780111941e+00 1.503619370046272152e+01 2.370813816667014517e+00
3.653996027424734727e+00 1.729070837987645248e+01 1.532190539031049070e+00
4.294873120968142999e+00 1.909567417592259275e+01 2.157000635757140294e+00
4.039058859577250971e+00 2.095713684705386726e+01 2.230752219933996305e-01
3.860772261453789600e+00 2.344852728740460890e+01 6.151799227735168962e+00
3.984341210059139549e+00 2.494293625562854899e+01 4.487615113843537173e-01
3.892554693196312865e+00 2.693402087434897396e+01 2.317966348911272956e+00
8.159388414513175647e+00 2.487925414415388836e+00 2.152487223947641581e+00
1.135343934628143892e+01 1.594289074998761002e+01 1.278964489461360321e+00
5.637423061896935650e+00 3.988353221914153202e-01 2.917983897885952693e+00
5.790205224870275558e+00 2.010818028959062254e+00 4.398472653696961387e+00
5.795748152440507894e+00 4.421763946594278849e+00 1.141780893826570997e+00
5.795780567300193198e+00 6.241178420692453876e+00 2.095480371096318351e+00
5.541972227343141988e+00 8.261463639603256581e+00 3.397249164129004934e-02
5.568033572806196041e+00 9.953728885841105267e+00 5.934147749033887642e+00
5.837904504538147243e+00 1.201043634820992168e+01 1.433212286404900615e+00
5.866935179161803404e+00 1.397522409640981422e+01 2.398303517049613365e-01
5.713122785532560144e+00 1.582911422675759106e+01 5.526764229523424277e+00
6.001834627566910108e+00 1.842147988731252894e+01 3.057251165081774857e+00
5.719965356934539003e+00 1.969879269119795850e+01 1.154302885317918248e+00
5.843690890416210593e+00 2.202530148280515121e+01 4.218783888534320070e+00
5.789275745255017647e+00 2.397816048206820128e+01 5.510443641309730189e+00
5.990283032945734831e+00 2.567101818762670362e+01 5.906310584867105362e+00
4.885795582421295080e+00 1.776645304278990523e+01 1.028512892944668300e+00
1.372903542554404233e+01 2.191816152540487650e+01 1.468945260616976611e+00
7.312356353756538141e+00 7.610455835340618203e-01 5.280484160711904629e+00
7.137688193373819878e+00 3.128329154237276200e+00 3.013812389310707829e+00
7.590247329290682465e+00 4.892677151088940413e+00 8.507052332027258412e-01
7.342213014735819776e+00 7.412102313066474935e+00 1.524511449663729090e+00
7.568964414029914600e+00 8.931908099881459506e+00 3.219693487229275952e+00
7.502409394074896376e+00 1.062786969349535582e+01 1.846681049097856464e+00
7.297014153176807127e+00 1.341254731902253106e+01 3.662341421044796874e+00
7.616912726287767832e+00 1.457017911008613709e+01 3.044914423114248425e+00
7.578252414952129534e+00 1.660682209613929317e+01 5.459427970920279094e+00
7.446915112316292884e+00 1.884099564953604755e+01 4.519484950355051822e+00
7.609511332391178939e+00 2.116696251539806539e+01 9.955652050976345757e-01
7.660120954699893403e+00 2.307165605276659903e+01 5.472565081610294868e+00
7.554032941643073151e+00 2.499102758243818201e+01 2.586387405555586882e-01
7.495820675513446218e+00 2.720523415934109934e+01 4.337326218502206565e-01
2.553721524695939493e+01 2.603418743719047512e+01 1.141463993581984804e+00
2.072919281519297030e+01 7.021601356681305361e+00 7.691179164020854886e-01
9.293330132859667359e+00 4.257719770975256779e-01 6.013405883442663580e+00
9.151438621282970587e+00 1.931243322203871848e+00 1.051718199049712865e+00
9.243429626604443783e+00 3.983561943344986922e+00 4.351531472592969685e+00
9.070731900923949098e+00 5.627999928578906186e+00 6.165385903207694973e+00
9.068037173491013903e+00 8.450434487938640160e+00 2.486947168234748151e+00
8.931292540366268184e+00 9.960138981016795512e+00 6.273663937593092932e+00
8.882809454609668975e+00 1.212745906302797749e+01 1.511410386709747922e+00
9.072045107150035648e+00 1.395294451079904263e+01 3.538240272219859595e+00
9.114274500148930258e+00 1.594880760192356739e+01 1.524763537693371696e+00
9.214301742747174728e+00 1.787624400104763467e+01 2.344861344112037393e+00
9.304990621001742568e+00 1.995723999195712395e+01 5.293401113483509945e+00
9.136280504973592897e+00 2.215488427955835249e+01 2.476184430816926740e-01
8.801787468476655718e+00 2.379170963669454153e+01 6.116593546437365525e+00
9.190708675224270152e+00 2.625582348683631650e+01 2.525260459034311289e+00
2.663579881810951377e+01 1.688867666069210571e+01 4.382229816053807014e-01
2.745299894214841885e+01 8.376804224645207242e+00 3.414033301987184910e+00
1.095429369580618228e+01 1.345485677303563499e+00 3.344566456767560148e+00
1.050052142818102041e+01 2.934433524139826943e+00 2.394235954686273260e+00
1.051766641995817686e+01 5.111932337068436638e+00 1.541930861638139749e+00
1.067222112026946945e+01 6.629465598641665736e+00 2.835420502585524805e+00
1.099397847806522321e+01 8.840595748802179799e+00 4.802832179137654478e+00
1.113085221077214904e+01 1.102892016744364767e+01 2.158734517266615249e+00
1.086192856830081688e+01 1.281664912279166124e+01 6.223471398825529910e+00
1.096065275291879182e+01 1.473945488750846522e+01 4.023853443584060052e+00
